Chr,Start,End,Protein
1,5377,5396,Fkh1
1,8535,8554,Fkh1
1,10534,10556,Fkh1
1,12511,12533,Fkh1
1,13190,13212,Fkh1
1,15201,15220,Fkh1
1,15642,15664,Fkh1
1,16606,16625,Fkh1
1,19110,19132,Fkh1
1,21491,21510,Fkh1
1,24694,24716,Fkh1
1,26992,27014,Fkh1
1,27938,27957,Fkh1
1,28911,28930,Fkh1
1,29853,29872,Fkh1
1,31006,31028,Fkh1
1,32153,32172,Fkh1
1,33848,33870,Fkh1
1,37623,37642,Fkh1
1,41139,41161,Fkh1
1,42195,42214,Fkh1
1,43986,44005,Fkh1
1,48192,48214,Fkh1
1,49083,49102,Fkh1
1,53639,53658,Fkh1
1,54745,54767,Fkh1
1,60310,60332,Fkh1
1,64313,64335,Fkh1
1,64950,64972,Fkh1
1,64953,64975,Fkh1
1,65306,65328,Fkh1
1,68898,68920,Fkh1
1,69976,69998,Fkh1
1,70881,70900,Fkh1
1,77406,77428,Fkh1
1,79610,79629,Fkh1
1,80174,80193,Fkh1
1,81189,81211,Fkh1
1,82599,82621,Fkh1
1,82604,82626,Fkh1
1,92636,92655,Fkh1
1,93423,93445,Fkh1
1,94931,94950,Fkh1
1,96416,96435,Fkh1
1,97030,97049,Fkh1
1,100810,100829,Fkh1
1,103486,103508,Fkh1
1,105015,105034,Fkh1
1,105607,105629,Fkh1
1,105996,106015,Fkh1
1,107181,107203,Fkh1
1,107284,107303,Fkh1
1,107887,107909,Fkh1
1,111215,111237,Fkh1
1,111691,111710,Fkh1
1,111694,111716,Fkh1
1,112101,112123,Fkh1
1,113407,113429,Fkh1
1,113495,113517,Fkh1
1,114872,114891,Fkh1
1,116932,116954,Fkh1
1,117797,117816,Fkh1
1,117979,118001,Fkh1
1,117981,118000,Fkh1
1,119541,119563,Fkh1
1,120008,120030,Fkh1
1,120169,120191,Fkh1
1,120864,120883,Fkh1
1,122469,122488,Fkh1
1,122547,122569,Fkh1
1,124005,124027,Fkh1
1,128572,128594,Fkh1
1,133186,133208,Fkh1
1,133732,133751,Fkh1
1,137283,137302,Fkh1
1,146590,146609,Fkh1
1,146642,146661,Fkh1
1,149616,149638,Fkh1
1,153719,153738,Fkh1
1,156019,156041,Fkh1
1,156022,156044,Fkh1
1,157567,157586,Fkh1
1,159946,159965,Fkh1
1,167444,167466,Fkh1
1,168597,168619,Fkh1
1,169034,169053,Fkh1
1,169465,169487,Fkh1
1,171809,171828,Fkh1
1,172830,172849,Fkh1
1,173243,173262,Fkh1
1,173954,173973,Fkh1
1,174858,174880,Fkh1
1,176422,176444,Fkh1
1,179035,179057,Fkh1
1,180022,180041,Fkh1
1,183705,183727,Fkh1
1,187898,187920,Fkh1
1,189455,189474,Fkh1
1,190907,190929,Fkh1
1,204357,204379,Fkh1
1,207189,207211,Fkh1
1,207273,207295,Fkh1
1,210496,210515,Fkh1
1,212980,213002,Fkh1
1,214274,214296,Fkh1
1,215681,215700,Fkh1
1,216622,216644,Fkh1
1,216969,216991,Fkh1
1,217068,217087,Fkh1
1,218951,218973,Fkh1
1,219106,219128,Fkh1
1,220016,220038,Fkh1
1,220673,220695,Fkh1
1,221022,221044,Fkh1
1,221679,221698,Fkh1
1,223007,223026,Fkh1
1,224643,224665,Fkh1
1,225409,225431,Fkh1
1,225806,225828,Fkh1
1,229755,229774,Fkh1
1,229785,229804,Fkh1
1,229800,229819,Fkh1
1,230037,230059,Fkh1
2,79,98,Fkh1
2,158,180,Fkh1
2,5076,5095,Fkh1
2,10734,10756,Fkh1
2,13993,14012,Fkh1
2,14296,14318,Fkh1
2,14934,14956,Fkh1
2,15737,15759,Fkh1
2,18630,18649,Fkh1
2,22556,22575,Fkh1
2,24853,24872,Fkh1
2,29427,29446,Fkh1
2,30533,30555,Fkh1
2,31336,31355,Fkh1
2,31667,31686,Fkh1
2,34298,34320,Fkh1
2,35677,35696,Fkh1
2,37759,37778,Fkh1
2,38873,38892,Fkh1
2,39560,39579,Fkh1
2,39632,39654,Fkh1
2,40677,40696,Fkh1
2,41872,41894,Fkh1
2,42182,42201,Fkh1
2,42879,42898,Fkh1
2,45795,45814,Fkh1
2,47174,47193,Fkh1
2,49047,49066,Fkh1
2,50599,50621,Fkh1
2,50607,50629,Fkh1
2,50974,50993,Fkh1
2,51591,51610,Fkh1
2,55162,55184,Fkh1
2,55424,55446,Fkh1
2,57297,57319,Fkh1
2,61725,61747,Fkh1
2,65170,65192,Fkh1
2,65413,65432,Fkh1
2,66171,66193,Fkh1
2,67137,67159,Fkh1
2,68578,68600,Fkh1
2,71233,71252,Fkh1
2,72338,72360,Fkh1
2,72344,72366,Fkh1
2,74800,74822,Fkh1
2,74863,74885,Fkh1
2,75390,75412,Fkh1
2,75393,75415,Fkh1
2,80206,80225,Fkh1
2,80540,80559,Fkh1
2,88020,88039,Fkh1
2,88871,88890,Fkh1
2,89974,89993,Fkh1
2,93753,93775,Fkh1
2,96469,96491,Fkh1
2,97773,97795,Fkh1
2,99193,99215,Fkh1
2,101531,101550,Fkh1
2,102741,102763,Fkh1
2,102781,102803,Fkh1
2,104191,104210,Fkh1
2,105343,105362,Fkh1
2,109814,109833,Fkh1
2,110059,110078,Fkh1
2,110660,110679,Fkh1
2,111403,111425,Fkh1
2,114281,114303,Fkh1
2,114564,114586,Fkh1
2,117462,117481,Fkh1
2,119179,119201,Fkh1
2,119938,119957,Fkh1
2,122190,122209,Fkh1
2,123250,123272,Fkh1
2,126611,126630,Fkh1
2,127385,127407,Fkh1
2,130014,130033,Fkh1
2,130633,130655,Fkh1
2,130655,130677,Fkh1
2,132402,132424,Fkh1
2,133469,133488,Fkh1
2,135516,135535,Fkh1
2,137684,137706,Fkh1
2,138126,138145,Fkh1
2,141057,141079,Fkh1
2,144663,144685,Fkh1
2,147085,147104,Fkh1
2,148019,148041,Fkh1
2,153345,153364,Fkh1
2,154757,154779,Fkh1
2,158477,158496,Fkh1
2,158646,158665,Fkh1
2,159977,159999,Fkh1
2,160010,160032,Fkh1
2,161355,161377,Fkh1
2,163554,163573,Fkh1
2,165381,165400,Fkh1
2,165926,165948,Fkh1
2,170766,170785,Fkh1
2,173717,173739,Fkh1
2,174900,174922,Fkh1
2,180762,180784,Fkh1
2,182732,182751,Fkh1
2,184116,184135,Fkh1
2,186668,186690,Fkh1
2,186788,186807,Fkh1
2,188734,188756,Fkh1
2,191120,191139,Fkh1
2,194065,194087,Fkh1
2,195544,195563,Fkh1
2,196333,196355,Fkh1
2,198453,198472,Fkh1
2,199026,199048,Fkh1
2,199564,199586,Fkh1
2,200729,200751,Fkh1
2,203400,203419,Fkh1
2,203784,203806,Fkh1
2,207092,207111,Fkh1
2,208388,208407,Fkh1
2,208595,208617,Fkh1
2,209268,209287,Fkh1
2,209999,210021,Fkh1
2,210433,210452,Fkh1
2,211005,211027,Fkh1
2,213444,213466,Fkh1
2,213743,213765,Fkh1
2,218314,218336,Fkh1
2,219925,219944,Fkh1
2,229689,229708,Fkh1
2,230025,230044,Fkh1
2,232983,233005,Fkh1
2,235556,235578,Fkh1
2,235859,235881,Fkh1
2,236461,236483,Fkh1
2,237042,237061,Fkh1
2,238704,238726,Fkh1
2,239299,239321,Fkh1
2,242107,242129,Fkh1
2,242344,242366,Fkh1
2,242577,242596,Fkh1
2,243075,243097,Fkh1
2,245120,245142,Fkh1
2,246837,246859,Fkh1
2,248915,248934,Fkh1
2,251666,251685,Fkh1
2,252303,252322,Fkh1
2,252412,252431,Fkh1
2,253345,253367,Fkh1
2,254162,254181,Fkh1
2,254996,255015,Fkh1
2,255039,255058,Fkh1
2,255901,255920,Fkh1
2,256333,256355,Fkh1
2,258635,258654,Fkh1
2,259310,259332,Fkh1
2,266576,266598,Fkh1
2,267311,267330,Fkh1
2,268407,268426,Fkh1
2,269415,269437,Fkh1
2,271747,271769,Fkh1
2,275013,275032,Fkh1
2,276078,276097,Fkh1
2,280028,280047,Fkh1
2,280084,280106,Fkh1
2,281917,281939,Fkh1
2,283972,283991,Fkh1
2,284123,284145,Fkh1
2,285328,285350,Fkh1
2,286145,286164,Fkh1
2,286783,286802,Fkh1
2,289985,290004,Fkh1
2,291476,291498,Fkh1
2,292654,292673,Fkh1
2,296110,296129,Fkh1
2,297519,297541,Fkh1
2,297863,297882,Fkh1
2,298077,298096,Fkh1
2,302143,302162,Fkh1
2,302755,302777,Fkh1
2,304603,304625,Fkh1
2,310017,310039,Fkh1
2,311514,311533,Fkh1
2,311675,311694,Fkh1
2,314073,314095,Fkh1
2,316922,316941,Fkh1
2,320006,320028,Fkh1
2,322560,322579,Fkh1
2,332556,332578,Fkh1
2,332557,332576,Fkh1
2,334926,334948,Fkh1
2,339822,339844,Fkh1
2,339825,339847,Fkh1
2,341387,341409,Fkh1
2,350351,350370,Fkh1
2,351352,351374,Fkh1
2,352958,352980,Fkh1
2,353194,353216,Fkh1
2,355724,355746,Fkh1
2,363095,363117,Fkh1
2,365342,365364,Fkh1
2,368493,368512,Fkh1
2,378161,378183,Fkh1
2,379101,379120,Fkh1
2,381758,381780,Fkh1
2,382394,382416,Fkh1
2,383715,383737,Fkh1
2,383904,383923,Fkh1
2,388055,388077,Fkh1
2,391265,391287,Fkh1
2,392676,392698,Fkh1
2,395701,395720,Fkh1
2,396965,396987,Fkh1
2,397861,397880,Fkh1
2,399704,399726,Fkh1
2,401046,401068,Fkh1
2,403306,403325,Fkh1
2,406851,406873,Fkh1
2,407527,407546,Fkh1
2,408034,408053,Fkh1
2,414042,414061,Fkh1
2,416374,416393,Fkh1
2,417491,417510,Fkh1
2,420239,420261,Fkh1
2,420245,420267,Fkh1
2,421617,421636,Fkh1
2,422360,422382,Fkh1
2,423361,423383,Fkh1
2,424941,424960,Fkh1
2,426548,426567,Fkh1
2,433759,433778,Fkh1
2,434726,434748,Fkh1
2,436643,436665,Fkh1
2,438356,438378,Fkh1
2,441443,441462,Fkh1
2,441918,441940,Fkh1
2,444236,444258,Fkh1
2,447206,447228,Fkh1
2,447484,447503,Fkh1
2,449365,449384,Fkh1
2,453420,453439,Fkh1
2,455115,455137,Fkh1
2,455436,455458,Fkh1
2,455658,455680,Fkh1
2,457716,457735,Fkh1
2,460670,460689,Fkh1
2,462763,462782,Fkh1
2,464084,464106,Fkh1
2,464090,464112,Fkh1
2,464360,464382,Fkh1
2,464506,464525,Fkh1
2,470238,470260,Fkh1
2,472715,472737,Fkh1
2,473836,473858,Fkh1
2,476984,477003,Fkh1
2,480429,480448,Fkh1
2,485787,485809,Fkh1
2,487022,487044,Fkh1
2,493017,493036,Fkh1
2,497334,497353,Fkh1
2,504539,504558,Fkh1
2,505389,505408,Fkh1
2,506458,506480,Fkh1
2,511356,511378,Fkh1
2,514758,514780,Fkh1
2,515471,515490,Fkh1
2,516187,516209,Fkh1
2,516807,516826,Fkh1
